Feature,Importance
Glucose,0.26812760457548424
BMI,0.16037980351479142
Age,0.127066672335104
DiabetesPedigreeFunction,0.12344804264722857
BloodPressure,0.08913966287436749
Pregnancies,0.08239758757271394
Insulin,0.0755485598111996
SkinThickness,0.0738920666691108
